theta,q,u
0.00831123130597171,-0.04688013641018106,0.011505619234165213
0.0078424299418699,-0.0440912172299076,0.010769870454204761
0.0074015177695708236,-0.0414976890005281,0.010095577861175212
0.006986540879565542,-0.038896512414714215,0.009364825689697443
0.0065975757554184,-0.039727821961525224,0.010641541666078334
0.006200297535803148,-0.03533941747091653,0.008803055410943622
0.0058469033610939825,-0.03224142532382557,0.007651048472107376
0.005524489107855727,-0.03366764192205743,0.009151606937523003
0.005187812688635152,-0.03217183973577587,0.008927478464195216
0.004866094291277393,-0.03109622321932981,0.008925545349043098
0.004555132059084095,-0.0320731000044178,0.01013359588448249
0.0042344010590399175,-0.02994638657154237,0.009499029824845587
0.003934937193324494,-0.02878635284469486,0.009401937320167928
0.003647073664877545,-0.026499635180413348,0.008605633778492919
0.0033820773130734116,-0.019255091162491217,0.004788900071347907
0.0031895264014484993,-0.02177370385192834,0.006685169508260005
0.002971789362929216,-0.022422715553603197,0.007510050606303486
0.002747562207393184,-0.019095485849111013,0.005962167094680239
0.0025566073489020737,-0.0206173074519392,0.007257169773359372
0.0023504342743826817,-0.01989902350375449,0.007238545553487331
0.0021514440393451367,-0.018826139819199072,0.006992795812829169
0.001963182641153146,-0.019152656137482568,0.007565228400183248
0.0017716560797783204,-0.02180175397159086,0.009537740223397876
0.0015536385400624119,-0.021691584881650367,0.009907673848865397
0.0013367226912459082,-0.021210087461898935,0.010052607094647545
0.0011246218166269188,-0.018944370804648256,0.009117378849535115
0.0009351781085804361,-0.020598765226926708,0.010488902918995152
0.0007291904563111691,-0.013224720510545334,0.006476451393704862
0.0005969432512057157,-0.01196964141467581,0.005987898346394054
0.0004772468370589576,-0.008801880871464999,0.004326634848761084
0.0003892280283443076,-0.007724234315233966,0.003856084532451764
0.00031198568519196797,-0.004212135038817214,0.0019033096529063923
0.00026986433480379583,-0.006741561412865565,0.0035052081781117472
0.00020244872067514018,-0.006067327896773638,0.003235499296713902
0.0001417754417074038,-0.006805822908661178,0.0037999428617818995
7.371721262079201e-05,-0.006513032938041273,0.00376038533758318
8.586883240379274e-06,-0.008157362036984472,0.0048772434557099245
-7.298673712946545e-05,-0.007036641742396884,0.0043679585196970605
-0.0001433531545534343,-0.004547864421917658,0.0030154249622574634
-0.0001888317987726109,-0.00014332187090410412,0.00046365672008768426
-0.00019026501748165193,-0.0010559290998473428,0.0010140874948717095
-0.00020082430848012537,-0.0033482105350222256,0.002410574937973586
-0.00023430641383034764,-0.005305883634109066,0.0036521430081261352
-0.0002873652501714383,-0.0028876059366934525,0.002307294062358948
-0.00031624130953837284,-0.0013017213793417959,0.0014135154466818232
-0.0003292585233317908,-0.001348538385313926,0.0014676400778519372
-0.00034274390718493005,-0.00032449891336034753,0.0008801871623860686
-0.00034598889631853354,-0.0017517758389996698,0.0017430432960368687
-0.0003635066547085302,-0.003714088081518416,0.00295546615832811
-0.00040064753552371436,-0.0031350006198344687,0.00268229544294811
-0.0004319975417220591,-0.0018011375098011464,0.0019446775893248059
-0.00045000891682007055,-0.0015159571913988023,0.0018095921484794224
-0.00046516848873405856,-0.0014697975454972896,0.0018122155047664908
-0.00047986646418903147,-0.0019933249472373167,0.0021557278967204527
-0.0004997997136614046,-0.003385110214340209,0.003030665555926935
-0.0005336508158048067,0.0007924488748017383,0.0005918323067285705
-0.0005257263270567893,-0.0025321537600563803,0.002570744910147407
-0.0005510478646573531,-0.004044079096940446,0.0035285431874789736
-0.0005914886556267576,-0.004319409102359293,0.0037746227726690906
-0.0006346827466503505,-0.005735506749735389,0.004710669543141934
-0.0006920378141477044,-0.004367533633907604,0.0040045958086399715
-0.0007357131504867804,-0.0037383088356508884,0.003714411602364094
-0.0007730962388432892,-0.0006012711877106461,0.001906955190312966
-0.0007791089507203957,-0.00190900631752046,0.0027036216919530676
-0.0007981990138956003,-0.0007440108411550495,0.00204280453248423
-0.0008056391223071508,-0.0018246806129750155,0.002706086612399311
-0.0008238859284369009,-0.00034693854481132385,0.0018559349837605963
-0.0008273553138850142,0.0015644026999755444,0.0007160690077847019
-0.0008117112868852588,0.0028769904853311826,-0.00010277171742819192
-0.000782941382031947,0.002389580775077619,0.00013213429901732274
-0.0007590455742811708,-0.0002782688488458117,0.0016850524578698285
-0.0007618282627696288,-0.001082266937807733,0.0021730166882238974
-0.0007726509321477062,-0.0010809677470486852,0.0021938825125246237
-0.0007834606096181931,-0.0009845990989041616,0.002157680678578883
-0.0007933066006072348,-3.8046371071758954e-05,0.001609441023857525
-0.0007936870643179524,-0.002510575230427424,0.003093719266892359
-0.0008187928166222266,-0.003788008362415672,0.003910390650693856
-0.0008566729002463834,-0.0014174867924616735,0.002563837875969771
-0.0008708477681710001,0.006583929214494865,-0.0022086619923549185
-0.0008050084760260514,0.011145202452462524,-0.005077104519425411
-0.0006935564515014262,0.010424917319502448,-0.004867837488698616
-0.0005893072783064018,0.00885978008318353,-0.004137253493297315
-0.0005007094774745664,0.007356777605784604,-0.0034126476085216298
-0.00042714170141672036,0.00834630159285929,-0.004153497552882132
-0.00034367868548812745,0.004866317871840722,-0.0022324333521281784
-0.00029501550676972024,0.0013472711483180485,-0.0002183316754513886
-0.00028154279528653977,0.0029456513546639597,-0.001204305222225296
-0.0002520862817399002,0.005194910054123843,-0.002612773468994505
-0.00020013718119866173,0.005800133519550726,-0.003079805749333112
-0.00014213584600315446,0.0061582242464896615,-0.0034106628558874877
-8.055360353825785e-05,0.003329229219921318,-0.001836430324876275
-4.726131133904467e-05,0.0024406175925039543,-0.0013698479328242833
-2.2855135414005124e-05,0.0011452850352562517,-0.0006414607503257408
-1.1402285061442606e-05,-0.0011785394758427876,0.0007299282556285577
-2.3187679819870482e-05,-0.00016623167361356898,0.00014611436380788234
-2.4849996556006172e-05,0.004135211444040751,-0.0024314268733124384
1.6502117884401336e-05,0.0020327219021509906,-0.001252637377059397
3.6829336905911246e-05,0.002212352727665014,-0.0014010703104108309
